Entry: *baʔbaʔba | Absolutive: baʔbaʔbaw | Generated Absolutive: baʔbaʔbaw
Entry: *baʔcʰabaʔcʰam | Absolutive: None | Generated Absolutive: baʔcʰabaʔcʰamʔ
Entry: *baʔcʰat | Absolutive: baʔcʰaʔ | Generated Absolutive: baʔcʰaʔ
Entry: *baʔcʰu | Absolutive: baʔcʰuw | Generated Absolutive: baʔcʰuw
Entry: *baʔcʼalam | Absolutive: baʔcʼalamʔ | Generated Absolutive: baʔcʼalamʔ
Entry: *baʔcʼaʔcʼa | Absolutive: baʔcʼaʔcʼaw | Generated Absolutive: baʔcʼaʔcʼaw
Entry: *baʔcʼetad | Absolutive: baʔcʼeta·du | Generated Absolutive: baʔcʼeta·du
Entry: *baʔcʼeʔcʼe | Absolutive: baʔcʼeʔcʼew | Generated Absolutive: baʔcʼeʔcʼew
Entry: baʔcʼe· | Absolutive: baʔcʼe· | Generated Absolutive: baʔcʼew
Entry: *baʔcʼoqʰot | Absolutive: baʔcʼoqʰoʔ | Generated Absolutive: baʔcʼoqʰoʔ
Entry: baʔcʼowa | Absolutive: baʔcʼowa | Generated Absolutive: baʔcʼowaw
Entry: *baʔdayac | Absolutive: baʔdayaʔ | Generated Absolutive: baʔdayaʔ
Entry: *baʔden | Absolutive: baʔdenʔ | Generated Absolutive: baʔdenʔ
Entry: *baʔkʰobaʔkʰo | Absolutive: baʔkʰobaʔkʰow | Generated Absolutive: baʔkʰobaʔkʰow
Entry: *baʔkʰoš | Absolutive: baʔkʰoš | Generated Absolutive: baʔkʰoš
Entry: *baʔkʰošci | Absolutive: baʔkʰošciw | Generated Absolutive: baʔkʰošciw
Entry: baʔkʼa | Absolutive: baʔkʼa | Generated Absolutive: baʔkʼaw
Entry: baʔkʼaš | Absolutive: baʔkʼaš | Generated Absolutive: baʔkʼaš
Entry: *baʔkʼibakʼitad | Absolutive: baʔkʼibakʼita·du | Generated Absolutive: baʔkʼibakʼita·du
Entry: *baʔkʼiʔkʼi | Absolutive: baʔkʼiʔkʼiw | Generated Absolutive: baʔkʼiʔkʼiw
Entry: *baʔkʼo | Absolutive: baʔkʼow | Generated Absolutive: baʔkʼow
Entry: *baʔkʼobaʔkʼo | Absolutive: baʔkʼobaʔkʼow | Generated Absolutive: baʔkʼobaʔkʼow
Entry: *baʔkʼolh | Absolutive: baʔkʼolʔ | Generated Absolutive: baʔkʼolʔ
Entry: *baʔkʼonh | Absolutive: baʔkʼonʔ | Generated Absolutive: baʔkʼonʔ
Entry: *baʔkʼonhci | Absolutive: baʔkʼonhciw | Generated Absolutive: baʔkʼonhciw
Entry: *baʔkʼoyad | Absolutive: baʔkʼoya·du | Generated Absolutive: baʔkʼoya·du
Entry: *baʔkʼoʔkʼoc | Absolutive: baʔkʼoʔkʼoʔ | Generated Absolutive: baʔkʼoʔkʼoʔ
Entry: *baʔkʼu | Absolutive: baʔkʼuw | Generated Absolutive: baʔkʼuw
Entry: *baʔkʼuyay | Absolutive: baʔkʼuyayʔ | Generated Absolutive: baʔkʼuyayʔ
Entry: *baʔliʔli | Absolutive: baʔliʔliw | Generated Absolutive: baʔliʔliw
