Entry: *dicʰulta | Absolutive: dicʰúltaw | Generated Absolutive: dicʰultaw
Entry: *dicʼah | Absolutive: dicʼah | Generated Absolutive: dicʼaʔ
Entry: *dicʼi·ṭaq | Absolutive: dicʼiṭaʔ | Generated Absolutive: dicʼi·ṭaʔ
Entry: *dihkela·tad | Absolutive: dihkelata·du | Generated Absolutive: dihkela·tadu
Entry: *dihpitʼci | Absolutive: dihpitʼ | Generated Absolutive: dihpitʼciw
Entry: *dihpʰa·šma | Absolutive: dihpʰaš | Generated Absolutive: dihpʰa·šmaw
Entry: dihsa | Absolutive: dihsa | Generated Absolutive: dihsaw
Entry: *dihsihsi | Absolutive: dihsiw | Generated Absolutive: dihsihsiw
Entry: *dihsimqa | Absolutive: dihsimʔ | Generated Absolutive: dihsimqaw
Entry: *dihṭʰe | Absolutive: dihṭʰe | Generated Absolutive: dihṭʰew
Entry: *dika·šma | Absolutive: dikašmaw | Generated Absolutive: dika·šmaw
Entry: *dikʼahci | Absolutive: diʔkʼahciw | Generated Absolutive: dikʼahciw
Entry: *dikʼa·nci | Absolutive: dikʼanciw | Generated Absolutive: dikʼa·nciw
Entry: *dikʼe·nci | Absolutive: dikʼenciw | Generated Absolutive: dikʼe·nciw
Entry: *dikʼo·yibic | Absolutive: dikʼoyi·biʔ | Generated Absolutive: dikʼo·yibiʔ
Entry: dimo | Absolutive: dimo | Generated Absolutive: dimow
Entry: *ditayʔta | Absolutive: dihtayʔtaw | Generated Absolutive: ditayʔtaw
Entry: *diʔcʼabatad | Absolutive: diʔcʼaba·tadu | Generated Absolutive: diʔcʼabata·du
Entry: *diʔcʼenhma | Absolutive: diʔcʼenmaw | Generated Absolutive: diʔcʼenhmaw
Entry: *diʔkʼanh | Absolutive: diʔkʼanh- | Generated Absolutive: diʔkʼanʔ
Entry: diʔyo | Absolutive: diʔyo | Generated Absolutive: diʔyow
Entry: *dohkodohkotad | Absolutive: dohkodokota·du | Generated Absolutive: dohkodohkota·du
Entry: dohkodohko·du | Absolutive: dohkodohko·du | Generated Absolutive: dohkodohko·duw
Entry: *dohpola·tad | Absolutive: dohpolha·ta·du | Generated Absolutive: dohpola·tadu
Entry: *dohqoyqa | Absolutive: dohqo·qaw | Generated Absolutive: dohqoyqaw
Entry: *doko·lma | Absolutive: dokolmaw | Generated Absolutive: doko·lmaw
Entry: *doko·lqa | Absolutive: dokolqaw | Generated Absolutive: doko·lqaw
Entry: doktoro | Absolutive: doktoro | Generated Absolutive: doktorow
Entry: *dokʼo·ṭatad | Absolutive: dokʼoṭa·tadu | Generated Absolutive: dokʼo·ṭata·du
Entry: *dokʼo·yala | Absolutive: dokʼoya·law | Generated Absolutive: dokʼo·yalaw
Entry: *dokʼo·yibic | Absolutive: dokʼoyi·biʔ | Generated Absolutive: dokʼo·yibiʔ
Entry: dono | Absolutive: dono | Generated Absolutive: donow
Entry: *dosokʼot | Absolutive: dosokʼotʔ | Generated Absolutive: dosokʼoʔ
Entry: *doʔkʼoyad | Absolutive: doʔkʼoyʔ | Generated Absolutive: doʔkʼoya·du
Entry: doʔlo | Absolutive: doʔlo | Generated Absolutive: doʔlow
Entry: *doʔqʼoʔdiwad | Absolutive: doʔqʼoʔdowa·du | Generated Absolutive: doʔqʼoʔdiwa·du
Entry: *doʔṭʼo· | Absolutive: doʔṭʼo· | Generated Absolutive: doʔṭʼow
Entry: do·noswa·la | Absolutive: do·noswa·la | Generated Absolutive: do·noswa·law
Entry: *ducʼoqʰot | Absolutive: docʼoqʰoʔ | Generated Absolutive: ducʼoqʰoʔ
Entry: *duhcʰaducʰatad | Absolutive: duhcʰaducʰaw | Generated Absolutive: duhcʰaducʰata·du
Entry: duhkal | Absolutive: duhkal | Generated Absolutive: duhkalʔ
Entry: *duhkela·tad | Absolutive: duhkelata·du | Generated Absolutive: duhkela·tadu
Entry: *duhkʰeyʔcicʼ | Absolutive: duhkʰecyʔciʔ | Generated Absolutive: duhkʰeyʔciʔ
Entry: *duhmudumutad | Absolutive: duhmudumutadu | Generated Absolutive: duhmudumuta·du
Entry: *duhpitʼci | Absolutive: duhpitʼci | Generated Absolutive: duhpitʼciw
Entry: *duhpʰa·šma | Absolutive: duhpʰaš | Generated Absolutive: duhpʰa·šmaw
Entry: *duhpʰihpʰi | Absolutive: duhpʰihpʰiʔ | Generated Absolutive: duhpʰihpʰiw
Entry: *duhsihsi | Absolutive: duhsiw | Generated Absolutive: duhsihsiw
Entry: duhša | Absolutive: duhša | Generated Absolutive: duhšaw
Entry: *duhṭʰahṭʰac | Absolutive: duhṭʰahṭʰaw | Generated Absolutive: duhṭʰahṭʰaʔ
Entry: duhṭʰal | Absolutive: duhṭʰal | Generated Absolutive: duhṭʰalʔ
Entry: *duhyew | Absolutive: duhyew | Generated Absolutive: duhyewʔ
Entry: *duki·lma | Absolutive: dukilmaw | Generated Absolutive: duki·lmaw
Entry: *dukʼahci | Absolutive: duʔkʼahciw | Generated Absolutive: dukʼahciw
Entry: *dukʼuyta | Absolutive: dukʼuyʔtaw | Generated Absolutive: dukʼuytaw
Entry: dul qʰaʔa·li | Absolutive: dulqʰaʔa·li | Generated Absolutive: dul qʰaʔa·liw
Entry: *dulaṭʼa·li | Absolutive: dulaṭʼa·li | Generated Absolutive: dulaṭʼa·liw
Entry: *duli·tʰma | Absolutive: dulitʰmaw | Generated Absolutive: duli·tʰmaw
Entry: *dulucʼu· | Absolutive: dalucʼuw | Generated Absolutive: dulucʼuw
Entry: *duqa·cʰqa | Absolutive: duqacʰqaw | Generated Absolutive: duqa·cʰqaw
Entry: *duqʰaltacʼ | Absolutive: duqʰaltacʼ | Generated Absolutive: duqʰaltaʔ
Entry: dusʼa·sʼay | Absolutive: dusʼa·sʼay | Generated Absolutive: dusʼa·sʼayʔ
Entry: duša·maw | Absolutive: duša·maw | Generated Absolutive: duša·mawʔ
Entry: *dutʼehnay | Absolutive: duʔtʼehniw | Generated Absolutive: dutʼehnayʔ
Entry: duweʔta | Absolutive: duweʔta | Generated Absolutive: duweʔtaw
Entry: *duʔyaqacʼ | Absolutive: duʔyaqacʼ | Generated Absolutive: duʔyaqaʔ
Entry: *duʔyaqad | Absolutive: duʔyaqadu | Generated Absolutive: duʔyaqa·du
Entry: *duʔya·qacʼ | Absolutive: duʔya·qacʼ | Generated Absolutive: duʔya·qaʔ
Entry: ha cʰo· | Absolutive: ha cʰo· | Generated Absolutive: ha cʰow
Entry: *hacʼah | Absolutive: hacʼah | Generated Absolutive: hacʼaʔ
Entry: háê | Absolutive: háê | Generated Absolutive: áê
Entry: hahce | Absolutive: hahce | Generated Absolutive: hahcew
Entry: *hahpʰohpʰo | Absolutive: hahpohpoyiʔ | Generated Absolutive: hahpʰohpʰow
Entry: *hahti | Absolutive: hahtibiʔ | Generated Absolutive: hahtiw
Entry: hahyuṭʰmaw | Absolutive: hahyuṭʰmaw | Generated Absolutive: hahyuṭʰmawʔ
Entry: *haki·lma | Absolutive: hakilmaw | Generated Absolutive: haki·lmaw
Entry: *hakʼahci | Absolutive: haʔkʼahciw | Generated Absolutive: hakʼahciw
Entry: halaṭi | Absolutive: halaṭi | Generated Absolutive: halaṭiw
Entry: hanaca·law | Absolutive: hanaca·law | Generated Absolutive: hanaca·lawʔ
Entry: haqaṭa | Absolutive: haqaṭa | Generated Absolutive: haqaṭaw
Entry: hasoyo | Absolutive: hasoyo | Generated Absolutive: hasoyow
Entry: hasʼiʔda | Absolutive: hasʼiʔda | Generated Absolutive: hasʼiʔdaw
Entry: haša·yol | Absolutive: haša·yol | Generated Absolutive: haša·yolʔ
Entry: haša·yul | Absolutive: haša·yul | Generated Absolutive: haša·yulʔ
Entry: *hatayʔta | Absolutive: hahtayʔtaw | Generated Absolutive: hatayʔtaw
Entry: *hatohato | Absolutive: hatohato | Generated Absolutive: hatohatow
Entry: haṭʼa·mo | Absolutive: haṭʼa·mo | Generated Absolutive: haṭʼa·mow
Entry: haʔbo | Absolutive: haʔbo | Generated Absolutive: haʔbow
Entry: haʔda | Absolutive: haʔda | Generated Absolutive: haʔdaw
Entry: haʔṭʰo | Absolutive: haʔṭʰo | Generated Absolutive: haʔṭʰow
Entry: haʔu | Absolutive: haʔu | Generated Absolutive: haʔuw
Entry: hcahohwa | Absolutive: cahohwa | Generated Absolutive: cahohwaw
Entry: *hcecad | Absolutive: ceca·du | Generated Absolutive: cecadu
Entry: hcoma | Absolutive: coma | Generated Absolutive: comaw
Entry: *hcoway | Absolutive: cowayʔ co·wayʔ | Generated Absolutive: cowayʔ
